[2025-11-30 14:22:04,391] ERROR: Unexpected error processing Badiboy/yandex-money-sdk-python: name 'BASE' is not defined
[2025-11-30 14:22:04,392] INFO: Processing 77/4007: BennyThink/AICryptoBot
[2025-11-30 14:22:04,392] ERROR: Unexpected error processing BennyThink/AICryptoBot: name 'BASE' is not defined
[2025-11-30 14:22:04,393] INFO: Processing 78/4007: BennyThink/ChatGPT-Next-Web
[2025-11-30 14:22:04,393] ERROR: Unexpected error processing BennyThink/ChatGPT-Next-Web: name 'BASE' is not defined
[2025-11-30 14:22:04,393] INFO: Processing 79/4007: BennyThink/EasyDockerWeb
[2025-11-30 14:22:04,394] ERROR: Unexpected error processing BennyThink/EasyDockerWeb: name 'BASE' is not defined
[2025-11-30 14:22:04,394] INFO: Processing 80/4007: BennyThink/GreenGrapes2
[2025-11-30 14:22:04,394] ERROR: Unexpected error processing BennyThink/GreenGrapes2: name 'BASE' is not defined
[2025-11-30 14:22:04,394] INFO: Processing 81/4007: BennyThink/IPv4.fail
[2025-11-30 14:22:04,395] ERROR: Unexpected error processing BennyThink/IPv4.fail: name 'BASE' is not defined
[2025-11-30 14:22:04,395] INFO: Processing 82/4007: BennyThink/KeepABPOn
[2025-11-30 14:22:04,395] ERROR: Unexpected error processing BennyThink/KeepABPOn: name 'BASE' is not defined
[2025-11-30 14:22:04,395] INFO: Processing 83/4007: BennyThink/MFSVaccine
[2025-11-30 14:22:04,396] ERROR: Unexpected error processing BennyThink/MFSVaccine: name 'BASE' is not defined
[2025-11-30 14:22:04,396] INFO: Processing 84/4007: BennyThink/MemorialDay
[2025-11-30 14:22:04,396] ERROR: Unexpected error processing BennyThink/MemorialDay: name 'BASE' is not defined
[2025-11-30 14:22:04,396] INFO: Processing 85/4007: BennyThink/TimeM
[2025-11-30 14:22:04,396] ERROR: Unexpected error processing BennyThink/TimeM: name 'BASE' is not defined
[2025-11-30 14:22:04,397] INFO: Processing 86/4007: BennyThink/Typecho_deserialization_exploit
[2025-11-30 14:22:04,397] ERROR: Unexpected error processing BennyThink/Typecho_deserialization_exploit: name 'BASE' is not defined
[2025-11-30 14:22:04,397] INFO: Processing 87/4007: BennyThink/bennythink.github.io
[2025-11-30 14:22:04,397] ERROR: Unexpected error processing BennyThink/bennythink.github.io: name 'BASE' is not defined
[2025-11-30 14:22:04,398] INFO: Processing 88/4007: BennyThink/cf-best-ip
[2025-11-30 14:22:04,398] ERROR: Unexpected error processing BennyThink/cf-best-ip: name 'BASE' is not defined
[2025-11-30 14:22:04,398] INFO: Processing 89/4007: BennyThink/deye
[2025-11-30 14:22:04,398] ERROR: Unexpected error processing BennyThink/deye: name 'BASE' is not defined
[2025-11-30 14:22:04,398] INFO: Processing 90/4007: BennyThink/kiana-desktop
[2025-11-30 14:22:04,399] ERROR: Unexpected error processing BennyThink/kiana-desktop: name 'BASE' is not defined
[2025-11-30 14:22:04,399] INFO: Processing 91/4007: BennyThink/lipo-linux
[2025-11-30 14:22:04,399] ERROR: Unexpected error processing BennyThink/lipo-linux: name 'BASE' is not defined
[2025-11-30 14:22:04,399] INFO: Processing 92/4007: BennyThink/lobe-chat
[2025-11-30 14:22:04,400] ERROR: Unexpected error processing BennyThink/lobe-chat: name 'BASE' is not defined
[2025-11-30 14:22:04,400] INFO: Processing 93/4007: BennyThink/ms08-067_Server_2003_Chinese_Version
[2025-11-30 14:22:04,400] ERROR: Unexpected error processing BennyThink/ms08-067_Server_2003_Chinese_Version: name 'BASE' is not defined
[2025-11-30 14:22:04,400] INFO: Processing 94/4007: BennyThink/onekey-compile-ffmpeg
[2025-11-30 14:22:04,401] ERROR: Unexpected error processing BennyThink/onekey-compile-ffmpeg: name 'BASE' is not defined
[2025-11-30 14:22:04,401] INFO: Processing 95/4007: BennyThink/pyweathercn
[2025-11-30 14:22:04,401] ERROR: Unexpected error processing BennyThink/pyweathercn: name 'BASE' is not defined
[2025-11-30 14:22:04,401] INFO: Processing 96/4007: BennyThink/qcloudClient
[2025-11-30 14:22:04,402] ERROR: Unexpected error processing BennyThink/qcloudClient: name 'BASE' is not defined
[2025-11-30 14:22:04,402] INFO: Processing 97/4007: BennyThink/realXiaoice
[2025-11-30 14:22:04,402] ERROR: Unexpected error processing BennyThink/realXiaoice: name 'BASE' is not defined
[2025-11-30 14:22:04,402] INFO: Processing 98/4007: BennyThink/sanic
[2025-11-30 14:22:04,402] ERROR: Unexpected error processing BennyThink/sanic: name 'BASE' is not defined
[2025-11-30 14:22:04,403] INFO: Processing 99/4007: BennyThink/taesync_gui
[2025-11-30 14:22:04,403] ERROR: Unexpected error processing BennyThink/taesync_gui: name 'BASE' is not defined
[2025-11-30 14:22:04,403] INFO: Processing 100/4007: BennyThink/telegram-tt
[2025-11-30 14:22:04,403] ERROR: Unexpected error processing BennyThink/telegram-tt: name 'BASE' is not defined
[2025-11-30 14:22:04,404] INFO: Processing 101/4007: BilboBackend/AudioConverter
[2025-11-30 14:22:04,404] ERROR: Unexpected error processing BilboBackend/AudioConverter: name 'BASE' is not defined
[2025-11-30 14:22:04,404] INFO: Processing 102/4007: BilboBackend/ComputerGraphics
[2025-11-30 14:22:04,404] ERROR: Unexpected error processing BilboBackend/ComputerGraphics: name 'BASE' is not defined
[2025-11-30 14:22:04,405] INFO: Processing 103/4007: BilboBackend/InformationFlowAnalysis
[2025-11-30 14:22:04,405] ERROR: Unexpected error processing BilboBackend/InformationFlowAnalysis: name 'BASE' is not defined
[2025-11-30 14:22:04,406] INFO: Processing 104/4007: BilboBackend/RustNumericalMethods
[2025-11-30 14:22:04,406] ERROR: Unexpected error processing BilboBackend/RustNumericalMethods: name 'BASE' is not defined
[2025-11-30 14:22:04,407] INFO: Processing 105/4007: BilboBackend/jpamb_25
[2025-11-30 14:22:04,407] ERROR: Unexpected error processing BilboBackend/jpamb_25: name 'BASE' is not defined
[2025-11-30 14:22:04,407] INFO: Processing 106/4007: BoberMod/AimTux
[2025-11-30 14:22:04,408] ERROR: Unexpected error processing BoberMod/AimTux: name 'BASE' is not defined
[2025-11-30 14:22:04,408] INFO: Processing 107/4007: BoberMod/Prometheus---Updated
[2025-11-30 14:22:04,408] ERROR: Unexpected error processing BoberMod/Prometheus---Updated: name 'BASE' is not defined
[2025-11-30 14:22:04,409] INFO: Processing 108/4007: BoberMod/Proxmox
[2025-11-30 14:22:04,409] ERROR: Unexpected error processing BoberMod/Proxmox: name 'BASE' is not defined
[2025-11-30 14:22:04,409] INFO: Processing 109/4007: BoberMod/pyTelegramBotAPI
[2025-11-30 14:22:04,409] ERROR: Unexpected error processing BoberMod/pyTelegramBotAPI: name 'BASE' is not defined
[2025-11-30 14:22:04,410] INFO: Processing 110/4007: BoberMod/salien-bot-test
[2025-11-30 14:22:04,410] ERROR: Unexpected error processing BoberMod/salien-bot-test: name 'BASE' is not defined
[2025-11-30 14:22:04,410] INFO: Processing 111/4007: BoberMod/shikimori
[2025-11-30 14:22:04,411] ERROR: Unexpected error processing BoberMod/shikimori: name 'BASE' is not defined
[2025-11-30 14:22:04,411] INFO: Processing 112/4007: BoberMod/telegram_backup
[2025-11-30 14:22:04,411] ERROR: Unexpected error processing BoberMod/telegram_backup: name 'BASE' is not defined
[2025-11-30 14:22:04,411] INFO: Processing 113/4007: BoberMod/tg-spam
[2025-11-30 14:22:04,412] ERROR: Unexpected error processing BoberMod/tg-spam: name 'BASE' is not defined
[2025-11-30 14:22:04,412] INFO: Processing 114/4007: BoberMod/trust
[2025-11-30 14:22:04,412] ERROR: Unexpected error processing BoberMod/trust: name 'BASE' is not defined
[2025-11-30 14:22:04,412] INFO: Processing 115/4007: BoberMod/webshell
[2025-11-30 14:22:04,412] ERROR: Unexpected error processing BoberMod/webshell: name 'BASE' is not defined
[2025-11-30 14:22:04,413] INFO: Processing 116/4007: DJRickyB/avro
[2025-11-30 14:22:04,413] ERROR: Unexpected error processing DJRickyB/avro: name 'BASE' is not defined
[2025-11-30 14:22:04,413] INFO: Processing 117/4007: DJRickyB/chown-the-libs
[2025-11-30 14:22:04,413] ERROR: Unexpected error processing DJRickyB/chown-the-libs: name 'BASE' is not defined
[2025-11-30 14:22:04,413] INFO: Processing 118/4007: DJRickyB/detection-rules
[2025-11-30 14:22:04,414] ERROR: Unexpected error processing DJRickyB/detection-rules: name 'BASE' is not defined
[2025-11-30 14:22:04,414] INFO: Processing 119/4007: DJRickyB/djrickyb.github.io
[2025-11-30 14:22:04,414] ERROR: Unexpected error processing DJRickyB/djrickyb.github.io: name 'BASE' is not defined
[2025-11-30 14:22:04,414] INFO: Processing 120/4007: DJRickyB/docker-elk
[2025-11-30 14:22:04,414] ERROR: Unexpected error processing DJRickyB/docker-elk: name 'BASE' is not defined
[2025-11-30 14:22:04,414] INFO: Processing 121/4007: DJRickyB/dynatrace-notifier-plugin
[2025-11-30 14:22:04,414] ERROR: Unexpected error processing DJRickyB/dynatrace-notifier-plugin: name 'BASE' is not defined
[2025-11-30 14:22:04,415] INFO: Processing 122/4007: DJRickyB/elasticsearch
[2025-11-30 14:22:04,415] ERROR: Unexpected error processing DJRickyB/elasticsearch: name 'BASE' is not defined
[2025-11-30 14:22:04,415] INFO: Processing 123/4007: DJRickyB/elasticsearch-py
[2025-11-30 14:22:04,415] ERROR: Unexpected error processing DJRickyB/elasticsearch-py: name 'BASE' is not defined
[2025-11-30 14:22:04,416] INFO: Processing 124/4007: DJRickyB/gradle-avro-plugin
[2025-11-30 14:22:04,416] ERROR: Unexpected error processing DJRickyB/gradle-avro-plugin: name 'BASE' is not defined
[2025-11-30 14:22:04,416] INFO: Processing 125/4007: DJRickyB/interp-ya-later
[2025-11-30 14:22:04,416] ERROR: Unexpected error processing DJRickyB/interp-ya-later: name 'BASE' is not defined
[2025-11-30 14:22:04,416] INFO: Processing 126/4007: DJRickyB/jruby
[2025-11-30 14:22:04,417] ERROR: Unexpected error processing DJRickyB/jruby: name 'BASE' is not defined
[2025-11-30 14:22:04,417] INFO: Processing 127/4007: DJRickyB/kryo-serializers
[2025-11-30 14:22:04,417] ERROR: Unexpected error processing DJRickyB/kryo-serializers: name 'BASE' is not defined
[2025-11-30 14:22:04,418] INFO: Processing 128/4007: DJRickyB/oql
[2025-11-30 14:22:04,418] ERROR: Unexpected error processing DJRickyB/oql: name 'BASE' is not defined
[2025-11-30 14:22:04,418] INFO: Processing 129/4007: DJRickyB/pull-request-notifier-for-bitbucket
[2025-11-30 14:22:04,419] ERROR: Unexpected error processing DJRickyB/pull-request-notifier-for-bitbucket: name 'BASE' is not defined
[2025-11-30 14:22:04,419] INFO: Processing 130/4007: DJRickyB/rally
[2025-11-30 14:22:04,419] ERROR: Unexpected error processing DJRickyB/rally: name 'BASE' is not defined
[2025-11-30 14:22:04,419] INFO: Processing 131/4007: DaveCTurner/CodeGolfJan19
[2025-11-30 14:22:04,420] ERROR: Unexpected error processing DaveCTurner/CodeGolfJan19: name 'BASE' is not defined
[2025-11-30 14:22:04,421] INFO: Processing 132/4007: DaveCTurner/alarmclock
[2025-11-30 14:22:04,421] ERROR: Unexpected error processing DaveCTurner/alarmclock: name 'BASE' is not defined
[2025-11-30 14:22:04,422] INFO: Processing 133/4007: DaveCTurner/amazonka
[2025-11-30 14:22:04,422] ERROR: Unexpected error processing DaveCTurner/amazonka: name 'BASE' is not defined
[2025-11-30 14:22:04,422] INFO: Processing 134/4007: DaveCTurner/autoharvest
[2025-11-30 14:22:04,422] ERROR: Unexpected error processing DaveCTurner/autoharvest: name 'BASE' is not defined
[2025-11-30 14:22:04,422] INFO: Processing 135/4007: DaveCTurner/aws-sdk-java
[2025-11-30 14:22:04,423] ERROR: Unexpected error processing DaveCTurner/aws-sdk-java: name 'BASE' is not defined
[2025-11-30 14:22:04,423] INFO: Processing 136/4007: DaveCTurner/bank-holidays-england
[2025-11-30 14:22:04,423] ERROR: Unexpected error processing DaveCTurner/bank-holidays-england: name 'BASE' is not defined
[2025-11-30 14:22:04,424] INFO: Processing 137/4007: DaveCTurner/bufferbloat-tester
[2025-11-30 14:22:04,424] ERROR: Unexpected error processing DaveCTurner/bufferbloat-tester: name 'BASE' is not defined
